text,domain
"Cookie Manager: ""Don't allow sites that set removed cookies to set future cookies"" should stay checked",firefox
When in full screen mode,firefox
Pressing Ctrl-N should open a new browser when only download dialog is left open,firefox
add icons to context menu,firefox
"So called ""tab bar"" should be made a proper toolbar or given the ability collapse / expand.",firefox
[XUL] Implement Cocoa-style toolbar customization.,firefox
#ifdefs for MOZ_PHOENIX,firefox
customize dialog's toolbar has small icons when small icons is not checked,firefox
nightly builds and tinderboxen for Phoenix,firefox
finish tearing prefs UI to pieces and then make it not suck,firefox
"""mozbrowser"" script doesn't start correct binary",firefox
Need bookmark groups icon,firefox
Dropping at top of palette box horks things,firefox
keyboard shortcut for Increase Text Size is broken,firefox
default phoenix bookmarks,firefox
[cust] need a toolbar spacer and spring spacer for customize,firefox
Can't launch phoenix while Mozilla is running (or vice versa),firefox
separator not available when all toolbar items are in toolbar layout,firefox
history menu for the back buttons doesn't work,firefox
"attempting to open ""back button history menu"" in the second window generates another back button on the toolbar",firefox
Phoenix and Mozilla cannot comfortably share a source tree,firefox
"Phoenix forgets all cookies even though ""Enable cookies for the current session only"" is NOT chosen",firefox
Starting Customizing Toolbar makes the current page go blank,firefox
Check in Satchel (the successor to wallet),firefox
Mousing over back menu in second window horks things,firefox
"Personal toolbar needs a min-height to avoid ""popping in""",firefox
New Folder...in ptoolbar context menu is broken,firefox
Implement Mozilla Firebird Help,firefox
tabs close in the wrong order (right to left),firefox
back buttons and context options always disabled.,firefox
Customising toolbar breaks the throbber!,firefox
manage bookmarks causes hang,firefox
land pch's bookmarks patch from bug 160019,firefox
Preferences > Privacy > Images == Wonky,firefox
Extremely high memory consumption after closing all windows with Quick Launch (Turbo) enabled,firefox
Go menu needs to have an id=,firefox
implement progress meter in URLbar,firefox
view source tries to download type application x-view-source from view-source:<url>,firefox
second window opens mozilla,firefox
fix branding,firefox
auto close for download manager would be nice,firefox
Components of the Navigation Toolbar do not appear with the Modern theme.,firefox
Pop up window blocking,firefox
Uabar doesn't work,firefox
Theme changes will take effect when you restart _Mozilla_.,firefox
Need large icons for the Options menu,firefox
Enable images cannot be used to disable the display of images.,firefox
The bookmark tree jumps unexpectedly to the bottom of its view when the the first visible row is not the first one,firefox
Move bookmarks transactions into a JS service (adding a bookmark leaks the Add Bookmark dialog),firefox
Shortcut Ctrl-Y (redo) does not work in Bookmarks Manager,firefox
Eradicate AddBookmarkImmediately,firefox
Deleting a selection should select the next item,firefox
transaction manager does not handle import,firefox
